x,y
-10,-8,757706328333677
-9,9,-9,129549483611077
-9,8,-9,497617146272772
-9,7,-9,834546267022676
-9,6,-10,11633632037423
-9,5,-10,324343034797039
-9,4,-10,446789359786191
-9,3,-10,479660243081009
-9,2,-10,426902861255606
-9,1,-10,29991600057985
-9,-10,11637577921735
-8,9,-9,898504164780864
-8,8,-9,670936479419057
-8,7,-9,458379855352819
-8,6,-9,283273212325318
-8,5,-9,163659113183058
-8,4,-9,11145883478543
-8,3,-9,131305868484587
-8,2,-9,220043065330843
-8,1,-9,366929233371827
-8,-9,554537485909766
-7,9,-9,760265704737664
-7,8,-9,958324655073397
-7,699999999999999,-10,122026468198337
-7,6,-10,226169220264548
-7,5,-10,249304593642993
-7,4,-10,175685893029762
-7,3,-9,996722085082908
-7,199999999999999,-9,711807502612425
-7,1,-9,328452475910318
-7,-8,861702457661847
-6,9,-8,332896630025871
-6,8,-7,767875858945533
-6,699999999999999,-7,194798933545257
-6,6,-6,641760915212316
-6,5,-6,134425006361687
-6,4,-5,693878063004117
-6,3,-5,334899833725197
-6,199999999999999,-5,064799001425955
-6,1,-4,8829184393249365
-6,-4,780852295358068
-5,8999999999999995,-4,743353930940646
-5,8,-4,749852041244011
-5,7,-4,77643798592784
-5,6,-4,798145311666722
-5,5,-4,791316406361929
-5,3999999999999995,-4,735843515250259
-5,3,-4,617082659158582
-5,199999999999999,-4,427268313743507
-5,1,-4,166301415758827
-5,-3,8418393635325443
-4,8999999999999995,-3,468679161340452
-4,8,-3,0674881385420725
-4,699999999999999,-2,6629951000809693
-4,6,-2,2818031147840223
-4,5,-1,950019101359914
-4,3999999999999995,-1,6909118945805175
-4,3,-1,522808088341229
-4,199999999999999,-1,4574138696718189
-4,1,-1,4987131599845698
-4,-1,6425410506516513
-3,8999999999999995,-1,8768713429781767
-3,8,-2,182793351766673
-3,6999999999999993,-2,536091691317319
-3,5999999999999996,-2,909289019865632
-3,5,-3,2739704726167527
-3,3999999999999995,-3,603183447973538
-3,3,-3,8736997643388653
-3,1999999999999993,-4,067939568938968
-3,0999999999999996,-4,175386650319185
-3,-4,193370278004411
-2,8999999999999995,-4,127145304025364
-2,8,-3,989264954428494
-2,6999999999999993,-3,7983039142034496
-2,5999999999999996,-3,577047323080278
-2,5,-3,350308970372887
-2,3999999999999995,-3,1425750465700464
-2,3,-2,975685324228083
-2,1999999999999993,-2,8667602156806504
-2,0999999999999996,-2,8265600969143323
-2,-2,8584245670009976
-1,9000000000000004,-2,957887390535669
-1,799999999999999,-3,113002385813758
-1,6999999999999993,-3,305351878191958
-1,5999999999999996,-3,5116482226435646
-1,5,-3,705785772638889
-1,4000000000000004,-3,86116028131762
-1,299999999999999,-3,9530486750345264
-1,1999999999999993,-3,9608365882685996
-1,0999999999999996,-3,869894490031735
-1,-3,6729344662162386
-0,9000000000000004,-3,3707259612720293
-0,7999999999999989,-2,9721058973402865
-0,6999999999999993,-2,493281479075236
-0,5999999999999996,-1,9564870414831557
-0,5,-1,3881138755407032
-0,3999999999999986,-0,8164789301406195
-0,29999999999999893,-0,2694304450520091
-0,1999999999999993,0,22799695331955916
-0,09999999999999964,0,655669655831951
0,1
0,10000000000000142,1,2550033224192654
0,20000000000000107,1,4226742764998022
0,3000000000000007,1,512650381593344
0,40000000000000036,1,5411944390939745
0,5,1,5295882788761088
0,6000000000000014,1,5020828520969831
0,7000000000000011,1,4835892698755246
